ID,CUIs
ImageCLEFmedical_Caption_2024_train_000078,C0524471
ImageCLEFmedical_Caption_2024_train_000364,C0301559
ImageCLEFmedical_Caption_2024_train_000365,C0301559
ImageCLEFmedical_Caption_2024_train_000378,C0007776;C0015811
ImageCLEFmedical_Caption_2024_train_000398,C1261192
ImageCLEFmedical_Caption_2024_train_000399,C1261192
ImageCLEFmedical_Caption_2024_train_000429,C0005971
ImageCLEFmedical_Caption_2024_train_000447,C1266909
ImageCLEFmedical_Caption_2024_train_000531,C1266909
ImageCLEFmedical_Caption_2024_train_000532,C1266909
ImageCLEFmedical_Caption_2024_train_000533,C0005971;C0301559
ImageCLEFmedical_Caption_2024_train_000534,C0015811
ImageCLEFmedical_Caption_2024_train_000678,C0206207
ImageCLEFmedical_Caption_2024_train_000751,C4281599
ImageCLEFmedical_Caption_2024_train_000772,C0524471;C0015813
ImageCLEFmedical_Caption_2024_train_000773,C0301559
ImageCLEFmedical_Caption_2024_train_000774,C0524471
ImageCLEFmedical_Caption_2024_train_000790,C0021102
ImageCLEFmedical_Caption_2024_train_000846,C0007776
ImageCLEFmedical_Caption_2024_train_000900,C1266909;C0015811
ImageCLEFmedical_Caption_2024_train_001049,C0007776;C1266909
ImageCLEFmedical_Caption_2024_train_001180,C0007776
ImageCLEFmedical_Caption_2024_train_001430,C0524471
ImageCLEFmedical_Caption_2024_train_001435,C0524470
ImageCLEFmedical_Caption_2024_train_001553,C0301559
ImageCLEFmedical_Caption_2024_train_001838,C0206207
ImageCLEFmedical_Caption_2024_train_001869,C0524470
ImageCLEFmedical_Caption_2024_train_002067,C4281598;C1266909
ImageCLEFmedical_Caption_2024_train_002437,C0030797
ImageCLEFmedical_Caption_2024_train_002489,C0206207
ImageCLEFmedical_Caption_2024_train_002597,C0025584
ImageCLEFmedical_Caption_2024_train_002749,C0015813
ImageCLEFmedical_Caption_2024_train_002753,C0015813
ImageCLEFmedical_Caption_2024_train_002785,C0015811
ImageCLEFmedical_Caption_2024_train_002787,C0015811
ImageCLEFmedical_Caption_2024_train_002789,C0021102;C0524470
ImageCLEFmedical_Caption_2024_train_002853,C1261192;C0301559
ImageCLEFmedical_Caption_2024_train_002854,C1261192
ImageCLEFmedical_Caption_2024_train_002855,C1261192;C0301559
ImageCLEFmedical_Caption_2024_train_002856,C1261192;C0301559
ImageCLEFmedical_Caption_2024_train_002901,C0524470
ImageCLEFmedical_Caption_2024_train_003146,C0015811;C1261192
ImageCLEFmedical_Caption_2024_train_003305,C0004457;C0015811
ImageCLEFmedical_Caption_2024_train_003344,C0301559
ImageCLEFmedical_Caption_2024_train_003382,C0021102
ImageCLEFmedical_Caption_2024_train_003591,C0206207
ImageCLEFmedical_Caption_2024_train_003883,C1261192
ImageCLEFmedical_Caption_2024_train_003884,C1261192
ImageCLEFmedical_Caption_2024_train_004107,C4281598
ImageCLEFmedical_Caption_2024_train_004108,C4281598;C1266909
ImageCLEFmedical_Caption_2024_train_004207,C0015813
ImageCLEFmedical_Caption_2024_train_004394,C0015811
ImageCLEFmedical_Caption_2024_train_004395,C0005971;C0015811
ImageCLEFmedical_Caption_2024_train_004396,C0007776
ImageCLEFmedical_Caption_2024_train_004398,C0015811
ImageCLEFmedical_Caption_2024_train_004399,C1266909
ImageCLEFmedical_Caption_2024_train_004418,C0007776;C0004457
ImageCLEFmedical_Caption_2024_train_004419,C0004457
ImageCLEFmedical_Caption_2024_train_004475,C0524471
ImageCLEFmedical_Caption_2024_train_004493,C1266909
ImageCLEFmedical_Caption_2024_train_004497,C1266909
ImageCLEFmedical_Caption_2024_train_004520,C4281599
ImageCLEFmedical_Caption_2024_train_004521,C4281599
ImageCLEFmedical_Caption_2024_train_004522,C4281599
ImageCLEFmedical_Caption_2024_train_004523,C4281599
ImageCLEFmedical_Caption_2024_train_004524,C4281599
ImageCLEFmedical_Caption_2024_train_004599,C1266909
ImageCLEFmedical_Caption_2024_train_004717,C0005971;C0301559
ImageCLEFmedical_Caption_2024_train_004719,C0524470
ImageCLEFmedical_Caption_2024_train_004721,C0524470;C0021102
ImageCLEFmedical_Caption_2024_train_004791,C0015811
ImageCLEFmedical_Caption_2024_train_004792,C0015811
ImageCLEFmedical_Caption_2024_train_005018,C1261192;C0206207
ImageCLEFmedical_Caption_2024_train_005028,C0005971;C0301559;C1266909
ImageCLEFmedical_Caption_2024_train_005056,C0015811
ImageCLEFmedical_Caption_2024_train_005130,C0206207
ImageCLEFmedical_Caption_2024_train_005133,C0005971
ImageCLEFmedical_Caption_2024_train_005301,C0030797
ImageCLEFmedical_Caption_2024_train_005837,C0025584
ImageCLEFmedical_Caption_2024_train_005871,C0015811
ImageCLEFmedical_Caption_2024_train_006022,C1266909
ImageCLEFmedical_Caption_2024_train_006193,C1261192
ImageCLEFmedical_Caption_2024_train_006254,C0015811;C0015813
ImageCLEFmedical_Caption_2024_train_006321,C0015811
ImageCLEFmedical_Caption_2024_train_006378,C0524471
ImageCLEFmedical_Caption_2024_train_006406,C0015813
ImageCLEFmedical_Caption_2024_train_006466,C0015811;C0004457
ImageCLEFmedical_Caption_2024_train_006526,C0004457
ImageCLEFmedical_Caption_2024_train_006551,C0015811;C0007776
ImageCLEFmedical_Caption_2024_train_006552,C0015811
ImageCLEFmedical_Caption_2024_train_006594,C0004457
ImageCLEFmedical_Caption_2024_train_006615,C0206207
ImageCLEFmedical_Caption_2024_train_006904,C0030797
ImageCLEFmedical_Caption_2024_train_007045,C4281598
ImageCLEFmedical_Caption_2024_train_007048,C4281598
ImageCLEFmedical_Caption_2024_train_007049,C4281598
ImageCLEFmedical_Caption_2024_train_007084,C0206207
ImageCLEFmedical_Caption_2024_train_007201,C4281598
ImageCLEFmedical_Caption_2024_train_007274,C0015811
ImageCLEFmedical_Caption_2024_train_007378,C0021102
ImageCLEFmedical_Caption_2024_train_007398,C4281598
ImageCLEFmedical_Caption_2024_train_007399,C0206207
ImageCLEFmedical_Caption_2024_train_007589,C0021102
ImageCLEFmedical_Caption_2024_train_007739,C1266909
ImageCLEFmedical_Caption_2024_train_007925,C4281598
ImageCLEFmedical_Caption_2024_train_007926,C4281598
ImageCLEFmedical_Caption_2024_train_008016,C0025584
ImageCLEFmedical_Caption_2024_train_008114,C0025584
ImageCLEFmedical_Caption_2024_train_008137,C0015811;C0004457;C0015813;C0030797
ImageCLEFmedical_Caption_2024_train_008157,C1261192;C0301559
ImageCLEFmedical_Caption_2024_train_008158,C1261192;C0301559
ImageCLEFmedical_Caption_2024_train_008316,C0015813
ImageCLEFmedical_Caption_2024_train_008317,C0524470;C0524471;C0015813
ImageCLEFmedical_Caption_2024_train_008319,C0030797;C0524470
ImageCLEFmedical_Caption_2024_train_008496,C4281598
ImageCLEFmedical_Caption_2024_train_008497,C4281598
ImageCLEFmedical_Caption_2024_train_008498,C4281598
ImageCLEFmedical_Caption_2024_train_008499,C4281598
ImageCLEFmedical_Caption_2024_train_008502,C0015811
ImageCLEFmedical_Caption_2024_train_008503,C0015811
ImageCLEFmedical_Caption_2024_train_008506,C0015811
ImageCLEFmedical_Caption_2024_train_008566,C0206207
ImageCLEFmedical_Caption_2024_train_008613,C0015811
ImageCLEFmedical_Caption_2024_train_008641,C0030797;C0524470
ImageCLEFmedical_Caption_2024_train_008643,C0524470
ImageCLEFmedical_Caption_2024_train_008666,C1266909;C0015811
ImageCLEFmedical_Caption_2024_train_008722,C0015811;C0301559
ImageCLEFmedical_Caption_2024_train_008723,C0015811
ImageCLEFmedical_Caption_2024_train_008765,C1266909;C0524471
ImageCLEFmedical_Caption_2024_train_008807,C0030797
ImageCLEFmedical_Caption_2024_train_009016,C4281598
ImageCLEFmedical_Caption_2024_train_009254,C0524470
ImageCLEFmedical_Caption_2024_train_009383,C0015811
ImageCLEFmedical_Caption_2024_train_009414,C0206207
ImageCLEFmedical_Caption_2024_train_009447,C0004457
ImageCLEFmedical_Caption_2024_train_009566,C0015813
ImageCLEFmedical_Caption_2024_train_009628,C0015811
ImageCLEFmedical_Caption_2024_train_009635,C0007776
ImageCLEFmedical_Caption_2024_train_009722,C0030797;C0005971;C0015813
ImageCLEFmedical_Caption_2024_train_009824,C0301559;C1261192
ImageCLEFmedical_Caption_2024_train_009825,C1266909;C1261192
