ID,CUIs
ImageCLEFmedical_Caption_2024_train_000059,C0018792
ImageCLEFmedical_Caption_2024_train_000061,C0225860;C1269894
ImageCLEFmedical_Caption_2024_train_000149,C0225860
ImageCLEFmedical_Caption_2024_train_000171,C0018792
ImageCLEFmedical_Caption_2024_train_000234,C0018792;C0225883
ImageCLEFmedical_Caption_2024_train_000236,C0018792
ImageCLEFmedical_Caption_2024_train_000242,C0205207
ImageCLEFmedical_Caption_2024_train_000243,C0205207;C0042149
ImageCLEFmedical_Caption_2024_train_000269,C0028259
ImageCLEFmedical_Caption_2024_train_000283,C0042149
ImageCLEFmedical_Caption_2024_train_000337,C0225860
ImageCLEFmedical_Caption_2024_train_000339,C0018787;C0031039;C0225897;C0018792
ImageCLEFmedical_Caption_2024_train_000340,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_000384,C0087086
ImageCLEFmedical_Caption_2024_train_000385,C0087086
ImageCLEFmedical_Caption_2024_train_000467,C0225860;C0225844;C0225883
ImageCLEFmedical_Caption_2024_train_000501,C0205207
ImageCLEFmedical_Caption_2024_train_000503,C0225860
ImageCLEFmedical_Caption_2024_train_000506,C0018792
ImageCLEFmedical_Caption_2024_train_000517,C0031039;C0225883;C0225897;C1269894
ImageCLEFmedical_Caption_2024_train_000525,C0027551;C0016976
ImageCLEFmedical_Caption_2024_train_000606,C0003483
ImageCLEFmedical_Caption_2024_train_000613,C0018787;C0225897;C0225883;C1269894
ImageCLEFmedical_Caption_2024_train_000628,C0003501
ImageCLEFmedical_Caption_2024_train_000638,C0018792;C0225897
ImageCLEFmedical_Caption_2024_train_000648,C0225844
ImageCLEFmedical_Caption_2024_train_000668,C0018827
ImageCLEFmedical_Caption_2024_train_000696,C0027551
ImageCLEFmedical_Caption_2024_train_000698,C0027551
ImageCLEFmedical_Caption_2024_train_000699,C0027551
ImageCLEFmedical_Caption_2024_train_000700,C0027551
ImageCLEFmedical_Caption_2024_train_000711,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_000712,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_000713,C0026264;C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_000714,C0225897;C1269894
ImageCLEFmedical_Caption_2024_train_000719,C0018827;C0225897;C0225860
ImageCLEFmedical_Caption_2024_train_000720,C0018827;C0225897;C0225860
ImageCLEFmedical_Caption_2024_train_000721,C0018827;C0225897;C0225860;C0225883;C0225844
ImageCLEFmedical_Caption_2024_train_000729,C0028259
ImageCLEFmedical_Caption_2024_train_000775,C0023884
ImageCLEFmedical_Caption_2024_train_000798,C0023884
ImageCLEFmedical_Caption_2024_train_000800,C0205207
ImageCLEFmedical_Caption_2024_train_000832,C0003501
ImageCLEFmedical_Caption_2024_train_000844,C0026264
ImageCLEFmedical_Caption_2024_train_000848,C0444611
ImageCLEFmedical_Caption_2024_train_000866,C0225844;C0225883;C0003501;C0225860
ImageCLEFmedical_Caption_2024_train_000867,C0225883;C0018792;C0225844
ImageCLEFmedical_Caption_2024_train_000868,C0225844;C0225860;C0225883
ImageCLEFmedical_Caption_2024_train_000872,C1269894;C0225883;C0225897
ImageCLEFmedical_Caption_2024_train_000876,C0205207
ImageCLEFmedical_Caption_2024_train_000879,C0225883;C0225897
ImageCLEFmedical_Caption_2024_train_000915,C0031039
ImageCLEFmedical_Caption_2024_train_000935,C0018792;C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_000936,C0225860
ImageCLEFmedical_Caption_2024_train_000937,C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_000938,C0444611
ImageCLEFmedical_Caption_2024_train_000968,C0018827
ImageCLEFmedical_Caption_2024_train_001016,C0444611
ImageCLEFmedical_Caption_2024_train_001021,C0018787;C0031039;C0225883;C0225860
ImageCLEFmedical_Caption_2024_train_001024,C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_001025,C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_001073,C0087086
ImageCLEFmedical_Caption_2024_train_001081,C0225860;C0003483
ImageCLEFmedical_Caption_2024_train_001122,C1269894;C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_001123,C0225844;C1269894
ImageCLEFmedical_Caption_2024_train_001124,C1269894;C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_001131,C0444611
ImageCLEFmedical_Caption_2024_train_001144,C0205207
ImageCLEFmedical_Caption_2024_train_001209,C0225844;C0225860;C0225883
ImageCLEFmedical_Caption_2024_train_001224,C0042149
ImageCLEFmedical_Caption_2024_train_001236,C0027551
ImageCLEFmedical_Caption_2024_train_001244,C0027551
ImageCLEFmedical_Caption_2024_train_001309,C0087086
ImageCLEFmedical_Caption_2024_train_001310,C0225897
ImageCLEFmedical_Caption_2024_train_001311,C0225883;C0225897;C1269894
ImageCLEFmedical_Caption_2024_train_001343,C0205207
ImageCLEFmedical_Caption_2024_train_001376,C0003501;C0225860;C0018792
ImageCLEFmedical_Caption_2024_train_001377,C0003501
ImageCLEFmedical_Caption_2024_train_001382,C0003501
ImageCLEFmedical_Caption_2024_train_001409,C0225897;C0003483;C0225860
ImageCLEFmedical_Caption_2024_train_001413,C0018787
ImageCLEFmedical_Caption_2024_train_001416,C0003501
ImageCLEFmedical_Caption_2024_train_001439,C0225883
ImageCLEFmedical_Caption_2024_train_001489,C0018827
ImageCLEFmedical_Caption_2024_train_001497,C0003483;C1269894
ImageCLEFmedical_Caption_2024_train_001498,C0225883;C0225897
ImageCLEFmedical_Caption_2024_train_001499,C0018827;C0225883
ImageCLEFmedical_Caption_2024_train_001501,C0018792;C0225860;C0026264;C0225897
ImageCLEFmedical_Caption_2024_train_001512,C0018827;C0003501
ImageCLEFmedical_Caption_2024_train_001515,C0003483
ImageCLEFmedical_Caption_2024_train_001539,C0225860
ImageCLEFmedical_Caption_2024_train_001652,C0003483
ImageCLEFmedical_Caption_2024_train_001655,C0018827;C0018792
ImageCLEFmedical_Caption_2024_train_001659,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_001660,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_001661,C0225844;C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_001662,C0018792;C1269894
ImageCLEFmedical_Caption_2024_train_001665,C0018787
ImageCLEFmedical_Caption_2024_train_001702,C0018792
ImageCLEFmedical_Caption_2024_train_001703,C0018792
ImageCLEFmedical_Caption_2024_train_001704,C0018792
ImageCLEFmedical_Caption_2024_train_001735,C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_001755,C0205207
ImageCLEFmedical_Caption_2024_train_001758,C0225844;C0225860;C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_001759,C0225844;C0225860
ImageCLEFmedical_Caption_2024_train_001798,C0205207;C0444611
ImageCLEFmedical_Caption_2024_train_001806,C0028259
ImageCLEFmedical_Caption_2024_train_001897,C0026264;C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_001926,C0028259
ImageCLEFmedical_Caption_2024_train_001952,C0087086;C0225844
ImageCLEFmedical_Caption_2024_train_001953,C0087086;C0225883
ImageCLEFmedical_Caption_2024_train_001954,C0225883
ImageCLEFmedical_Caption_2024_train_001974,C0225844;C0225883
ImageCLEFmedical_Caption_2024_train_001975,C0225844;C0225860
ImageCLEFmedical_Caption_2024_train_001995,C0026264
ImageCLEFmedical_Caption_2024_train_002001,C0031039
ImageCLEFmedical_Caption_2024_train_002002,C0018787
ImageCLEFmedical_Caption_2024_train_002003,C0031039;C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_002004,C0031039;C0225844;C0225897;C0225883
ImageCLEFmedical_Caption_2024_train_002010,C0031039;C0225883;C0225844
ImageCLEFmedical_Caption_2024_train_002017,C0003483
ImageCLEFmedical_Caption_2024_train_002025,C0018827
ImageCLEFmedical_Caption_2024_train_002076,C0205207;C0225844
ImageCLEFmedical_Caption_2024_train_002096,C0225860;C0225897;C0225844;C0225883
ImageCLEFmedical_Caption_2024_train_002097,C0225860;C0225844
ImageCLEFmedical_Caption_2024_train_002116,C0042149
ImageCLEFmedical_Caption_2024_train_002145,C0087086
ImageCLEFmedical_Caption_2024_train_002156,C0018792
ImageCLEFmedical_Caption_2024_train_002166,C0018792;C0225883
ImageCLEFmedical_Caption_2024_train_002184,C0444611
ImageCLEFmedical_Caption_2024_train_002230,C0023884
ImageCLEFmedical_Caption_2024_train_002232,C0023884
ImageCLEFmedical_Caption_2024_train_002278,C0003483;C0018827
ImageCLEFmedical_Caption_2024_train_002279,C0018827
ImageCLEFmedical_Caption_2024_train_002297,C0016976
ImageCLEFmedical_Caption_2024_train_002323,C0205207;C0018787
ImageCLEFmedical_Caption_2024_train_002415,C0225860;C0225844
ImageCLEFmedical_Caption_2024_train_002490,C0018792
ImageCLEFmedical_Caption_2024_train_002491,C0225860
ImageCLEFmedical_Caption_2024_train_002540,C0028259
ImageCLEFmedical_Caption_2024_train_002574,C0028259
ImageCLEFmedical_Caption_2024_train_002656,C0031039;C0018827;C0026264
ImageCLEFmedical_Caption_2024_train_002657,C0031039;C0018792;C0026264
ImageCLEFmedical_Caption_2024_train_002658,C0225883;C0026264
ImageCLEFmedical_Caption_2024_train_002659,C0205207
ImageCLEFmedical_Caption_2024_train_002679,C0028259
ImageCLEFmedical_Caption_2024_train_002735,C0003483
ImageCLEFmedical_Caption_2024_train_002781,C0018827;C0018787
ImageCLEFmedical_Caption_2024_train_002833,C0016976
ImageCLEFmedical_Caption_2024_train_002861,C0026264;C0225860
ImageCLEFmedical_Caption_2024_train_002900,C0225883
ImageCLEFmedical_Caption_2024_train_002913,C0031039
ImageCLEFmedical_Caption_2024_train_002928,C0016976
ImageCLEFmedical_Caption_2024_train_002934,C0018827
ImageCLEFmedical_Caption_2024_train_002948,C0018827
ImageCLEFmedical_Caption_2024_train_002965,C0018827
ImageCLEFmedical_Caption_2024_train_003020,C0225883
ImageCLEFmedical_Caption_2024_train_003054,C0016976
ImageCLEFmedical_Caption_2024_train_003078,C0225844
ImageCLEFmedical_Caption_2024_train_003079,C0225883
ImageCLEFmedical_Caption_2024_train_003080,C0225883
ImageCLEFmedical_Caption_2024_train_003101,C0031039;C0018787
ImageCLEFmedical_Caption_2024_train_003102,C0018827;C0018792
ImageCLEFmedical_Caption_2024_train_003118,C0225883;C0225844;C0225860;C0225897
ImageCLEFmedical_Caption_2024_train_003136,C0205207
ImageCLEFmedical_Caption_2024_train_003205,C0225860
ImageCLEFmedical_Caption_2024_train_003226,C0042149
ImageCLEFmedical_Caption_2024_train_003227,C0042149
ImageCLEFmedical_Caption_2024_train_003260,C0023884
ImageCLEFmedical_Caption_2024_train_003261,C0023884
ImageCLEFmedical_Caption_2024_train_003279,C0031039
ImageCLEFmedical_Caption_2024_train_003280,C0031039
ImageCLEFmedical_Caption_2024_train_003311,C0018827
ImageCLEFmedical_Caption_2024_train_003312,C0225883;C0225897
ImageCLEFmedical_Caption_2024_train_003317,C0026264
ImageCLEFmedical_Caption_2024_train_003327,C0444611
ImageCLEFmedical_Caption_2024_train_003346,C0444611
ImageCLEFmedical_Caption_2024_train_003351,C0027551
ImageCLEFmedical_Caption_2024_train_003369,C0225883;C0225897
ImageCLEFmedical_Caption_2024_train_003385,C0003483
ImageCLEFmedical_Caption_2024_train_003404,C0225883
ImageCLEFmedical_Caption_2024_train_003412,C0027551
ImageCLEFmedical_Caption_2024_train_003415,C0028259
ImageCLEFmedical_Caption_2024_train_003435,C1269894;C0225897
ImageCLEFmedical_Caption_2024_train_003444,C0028259
ImageCLEFmedical_Caption_2024_train_003447,C0205207
ImageCLEFmedical_Caption_2024_train_003449,C0028259
ImageCLEFmedical_Caption_2024_train_003450,C0028259
ImageCLEFmedical_Caption_2024_train_003451,C0028259
ImageCLEFmedical_Caption_2024_train_003452,C0028259
ImageCLEFmedical_Caption_2024_train_003453,C0028259
ImageCLEFmedical_Caption_2024_train_003454,C0028259
ImageCLEFmedical_Caption_2024_train_003455,C0028259;C0042149
ImageCLEFmedical_Caption_2024_train_003466,C0016976
ImageCLEFmedical_Caption_2024_train_003481,C0042149
ImageCLEFmedical_Caption_2024_train_003482,C0042149
ImageCLEFmedical_Caption_2024_train_003483,C0026264;C0018827
ImageCLEFmedical_Caption_2024_train_003522,C0225897
ImageCLEFmedical_Caption_2024_train_003530,C0018787;C0087086;C0225883;C0225897;C1269894
ImageCLEFmedical_Caption_2024_train_003551,C0042149
ImageCLEFmedical_Caption_2024_train_003620,C0042149
ImageCLEFmedical_Caption_2024_train_003654,C0003483
